word,group,confidence,method,source_count
thigh,64,0.75,cluster_phonetic,4
lie,65,0.75,cluster_phonetic,120
lie,65,0.75,cluster_phonetic,120
lie,65,0.75,cluster_phonetic,120
lie,65,0.75,cluster_phonetic,120
lie,65,0.75,cluster_phonetic,4
pain,66,0.75,cluster_phonetic,119
pain,66,0.75,cluster_phonetic,119
pain,66,0.75,cluster_phonetic,119
pain,66,0.75,cluster_phonetic,119
pain,66,0.75,cluster_phonetic,4
today,67,0.75,cluster_phonetic,118
today,67,0.75,cluster_phonetic,118
today,67,0.75,cluster_phonetic,118
today,67,0.75,cluster_phonetic,118
today,67,0.75,cluster_phonetic,118
ass,68,0.75,cluster_phonetic,117
ass,68,0.75,cluster_phonetic,117
ass,68,0.75,cluster_phonetic,117
ass,68,0.75,cluster_phonetic,117
ass,68,0.75,cluster_phonetic,4
yo,69,0.75,cluster_phonetic,116
yo,69,0.75,cluster_phonetic,116
yo,69,0.75,cluster_phonetic,116
yo,69,0.75,cluster_phonetic,116
house,70,0.75,cluster_phonetic,115
house,70,0.75,cluster_phonetic,115
house,70,0.75,cluster_phonetic,115
house,70,0.75,cluster_phonetic,115
house,70,0.75,cluster_phonetic,4
uh,71,0.75,cluster_phonetic,111
uh,71,0.75,cluster_phonetic,111
uh,71,0.75,cluster_phonetic,111
uh,71,0.75,cluster_phonetic,111
all,72,0.75,cluster_phonetic,110
all,72,0.75,cluster_phonetic,110
all,72,0.75,cluster_phonetic,110
all,72,0.75,cluster_phonetic,110
all,72,0.75,cluster_phonetic,4
top,73,0.75,cluster_phonetic,109
top,73,0.75,cluster_phonetic,109
top,73,0.75,cluster_phonetic,109
top,73,0.75,cluster_phonetic,109
top,73,0.75,cluster_phonetic,109
them,74,0.75,cluster_phonetic,108
them,74,0.75,cluster_phonetic,108
them,74,0.75,cluster_phonetic,108
them,74,0.75,cluster_phonetic,4
fuck,75,0.75,cluster_phonetic,105
fuck,75,0.75,cluster_phonetic,105
fuck,75,0.75,cluster_phonetic,105
fuck,75,0.75,cluster_phonetic,105
fuck,75,0.75,cluster_phonetic,105
niggas,76,0.75,cluster_phonetic,105
niggas,76,0.75,cluster_phonetic,105
niggas,76,0.75,cluster_phonetic,105
niggas,76,0.75,cluster_phonetic,105
niggas,76,0.75,cluster_phonetic,105
o,77,0.75,cluster_phonetic,104
o,77,0.75,cluster_phonetic,104
o,77,0.75,cluster_phonetic,104
o,77,0.75,cluster_phonetic,104
feel,78,0.75,cluster_phonetic,104
feel,78,0.75,cluster_phonetic,104
feel,78,0.75,cluster_phonetic,104
feel,78,0.75,cluster_phonetic,104
feel,78,0.75,cluster_phonetic,4
i,79,0.75,cluster_phonetic,100
i,79,0.75,cluster_phonetic,100
i,79,0.75,cluster_phonetic,100
i,79,0.75,cluster_phonetic,100
asleep,80,0.75,cluster_phonetic,32
asleep,80,0.75,cluster_phonetic,32
asleep,80,0.75,cluster_phonetic,32
asleep,80,0.75,cluster_phonetic,32
asleep,80,0.75,cluster_phonetic,4
bleep,80,0.75,cluster_phonetic,4
sleep,80,0.75,cluster_phonetic,98
sleep,80,0.75,cluster_phonetic,98
sleep,80,0.75,cluster_phonetic,98
sleep,80,0.75,cluster_phonetic,98
sleep,80,0.75,cluster_phonetic,4
game,81,0.75,cluster_phonetic,98
game,81,0.75,cluster_phonetic,98
game,81,0.75,cluster_phonetic,98
game,81,0.75,cluster_phonetic,98
game,81,0.75,cluster_phonetic,4
fake,82,0.75,cluster_phonetic,97
fake,82,0.75,cluster_phonetic,97
fake,82,0.75,cluster_phonetic,97
fake,82,0.75,cluster_phonetic,97
fake,82,0.75,cluster_phonetic,4
one,83,0.75,cluster_phonetic,95
one,83,0.75,cluster_phonetic,95
one,83,0.75,cluster_phonetic,95
one,83,0.75,cluster_phonetic,95
one,83,0.75,cluster_phonetic,95
anymore,84,0.75,cluster_phonetic,15
anymore,84,0.75,cluster_phonetic,15
anymore,84,0.75,cluster_phonetic,15
anymore,84,0.75,cluster_phonetic,15
anymore,84,0.75,cluster_phonetic,15
more,84,0.75,cluster_phonetic,95
more,84,0.75,cluster_phonetic,95
more,84,0.75,cluster_phonetic,95
more,84,0.75,cluster_phonetic,95
more,84,0.75,cluster_phonetic,95
cough,85,0.75,cluster_phonetic,4
enough,85,0.75,cluster_phonetic,95
enough,85,0.75,cluster_phonetic,95
enough,85,0.75,cluster_phonetic,95
enough,85,0.75,cluster_phonetic,95
enough,85,0.75,cluster_phonetic,4
hough,85,0.75,cluster_phonetic,4
rough,85,0.75,cluster_phonetic,7
rough,85,0.75,cluster_phonetic,7
rough,85,0.75,cluster_phonetic,7
rough,85,0.75,cluster_phonetic,7
rough,85,0.75,cluster_phonetic,4
slough,85,0.75,cluster_phonetic,4
tough,85,0.75,cluster_phonetic,7
tough,85,0.75,cluster_phonetic,7
tough,85,0.75,cluster_phonetic,7
tough,85,0.75,cluster_phonetic,7
tough,85,0.75,cluster_phonetic,4
trough,85,0.75,cluster_phonetic,4
ahead,86,0.75,cluster_phonetic,6
ahead,86,0.75,cluster_phonetic,6
ahead,86,0.75,cluster_phonetic,6
ahead,86,0.75,cluster_phonetic,6
ahead,86,0.75,cluster_phonetic,6
behead,86,0.75,cluster_phonetic,4
head,86,0.75,cluster_phonetic,94
head,86,0.75,cluster_phonetic,94
head,86,0.75,cluster_phonetic,94
head,86,0.75,cluster_phonetic,94
head,86,0.75,cluster_phonetic,4
love,87,0.75,cluster_phonetic,93
love,87,0.75,cluster_phonetic,93
love,87,0.75,cluster_phonetic,93
love,87,0.75,cluster_phonetic,93
love,87,0.75,cluster_phonetic,93
in,88,0.75,cluster_phonetic,92
in,88,0.75,cluster_phonetic,92
in,88,0.75,cluster_phonetic,92
in,88,0.75,cluster_phonetic,92
again,89,0.75,cluster_phonetic,92
again,89,0.75,cluster_phonetic,92
again,89,0.75,cluster_phonetic,92
again,89,0.75,cluster_phonetic,92
again,89,0.75,cluster_phonetic,92
gain,89,0.75,cluster_phonetic,4
gain,89,0.75,cluster_phonetic,4
